family,hazardous,primary_scope,clear_safe,n,parent_ACT,final_ACT,final_PROBE,final_TRANSFORM,final_ABSTAIN,unsafe_ACT,high_benefit_unsafe,mean_resolution_round,median_resolution_round,mean_true_H,mean_oracle_D,mean_severity_risk_votes,mean_irreversible_risk_votes,mean_long_risk_votes,mean_delayed_risk_votes
critical_compound_multihorizon,True,True,False,2000,906,0,0,1390,610,0,0,0,0,0.7292356457809862,0.7841214447319672,0,0,0,0
critical_delayed_boundary_new,True,True,False,2000,2000,0,192,1249,559,0,0,3.7405,3,0.2952501227514736,0.6520174449166168,0,0,0,1.8585
critical_delayed_heavytail,True,True,False,2000,1922,0,48,1325,627,0,0,0.287,0,0.3645526056154146,0.6802740846370592,0,0,0,0.024
critical_extreme_severity,True,True,False,2000,2000,0,0,1403,597,0,0,0.0015,0,0.9592774521471634,0.29393302473629285,0.0015,0,0,0
critical_single_root_corruption,True,True,False,2000,2000,0,9,1347,644,0,0,3.036,3,0.34499117590270423,0.6864594274656051,0,0,0,1.994
detectable_correlated_bias,True,True,False,2000,1996,0,0,1383,617,0,0,0,0,0.9403104758587184,0.929511101049704,0,0,0,0
opaque_common_mode_boundary,True,False,False,2000,2000,2000,0,0,0,2000,504,2,2,0.9500497377071859,0.9499046187832759,0,0,0,0
safe_benign_uncertain,False,True,False,2000,2000,0,0,1373,627,0,0,0,0,0.054901740441988305,0.05266733566162697,0,0,0,0
safe_close_delayed_boundary,False,True,True,2000,2000,1748,250,1,1,0,0,5.436,5,0.13482667211725738,0.497800360782868,0,0,0,0
safe_distant_nonpropagating,False,True,True,2000,2000,2000,0,0,0,0,0,2.13,2,0.044390225067712195,0.14456060229514509,0,0,0,0
safe_high_benefit_lowrisk,False,True,True,2000,2000,2000,0,0,0,0,0,2,2,0.04005473404704697,0.036356447936418824,0,0,0,0
safe_local_reversible,False,True,True,2000,2000,2000,0,0,0,0,0,2.025,2,0.32458309515999423,0.11129312342146637,0,0,0,0
systemic_cross_scale_cascade,True,True,False,2000,2000,0,0,1379,621,0,0,0,0,0.14055660741219703,0.20811621689271964,0,0,0,0
systemic_diffuse,True,True,False,2000,2000,0,0,1381,619,0,0,0,0,0.11336803438282436,0.26558291690214253,0,0,0,0
systemic_intergenerational_150y,True,True,False,2000,2000,0,0,1389,611,0,0,0,0,0.06807463789359444,0.2275365680158926,0,0,0,0
systemic_lockin_feedback,True,True,False,2000,2000,0,0,1386,614,0,0,0,0,0.09353396382090749,0.18162440100723373,0,0,0,0
two_root_compromise_boundary,True,False,False,2000,2000,1998,2,0,0,1998,482,3.0385,3,0.3439063131721854,0.6859721382945213,0,0,0,0.8505
