family,hazardous,primary_scope,clear_safe,n,parent_ACT,e842_ACT,final_ACT,final_PROBE,final_TRANSFORM,final_ABSTAIN,unsafe_ACT,high_benefit_unsafe,sequential_blocks_after_e842_ACT,mean_resolution_round,median_resolution_round,mean_true_H,mean_oracle_HI,mean_oracle_D,mean_severity_votes,mean_irreversible_votes,mean_long_votes,mean_delayed_votes
boundary_opaque_common_mode_847,True,False,False,2500,2500,2500,2500,0,0,0,2500,479,0,2,2,0.9495713823982859,0.9015091229683277,0.949309537964779,0,0,0,0
boundary_two_root_collusion_847,True,False,False,2500,2500,2415,2415,0,54,31,2415,509,0,2.5788,3,0.3598775214156319,0.34728434033900885,0.6938930322745048,0,0,0,0.8176
critical_delayed_joint_edge_847,True,True,False,2500,2499,2182,0,406,1466,628,0,0,2182,4.6108,4,0.2903027887174292,0.27871660611509735,0.6437482679313309,0,0,0,1.6468
critical_detectable_integrity_failure_847,True,True,False,2500,2255,0,0,0,1754,746,0,0,0,0,0,0.8708278123094649,0.6546901449400829,0.8243653649877389,0,0,0,0
critical_irreversibility_edge_847,True,True,False,2500,124,0,0,0,1789,711,0,0,0,0,0,0.6714999350995594,0.6040880689080256,0.39878310311569437,0,0,0,0
critical_long_horizon_edge_847,True,True,False,2500,2498,2,0,0,1730,770,0,0,2,0.006,0,0.6801124755872879,0.07469902418362154,0.39960343859020253,0,0,0.0016,0
critical_multi_axis_847,True,True,False,2500,1693,60,0,0,1727,773,0,0,60,0.0672,0,0.5753321591856703,0.46169124873563694,0.7264289538492908,0,0.0004,0,0.0604
critical_one_root_random_corruption_847,True,True,False,2500,2500,2286,0,19,1713,768,0,0,2286,3.1688,3,0.32461183173524033,0.31321214152292826,0.6704403755723543,0,0,0,1.8204
critical_severity_edge_847,True,True,False,2500,2500,3,0,2,1697,801,0,0,3,0.0092,0,0.8837592590815438,0.08857463479187645,0.1946012750444728,0.0008,0,0,0
safe_delayed_joint_near_847,False,True,True,2500,2500,2500,2466,34,0,0,0,0,34,3.884,3,0.15001649792061192,0.14190618357280688,0.5108981218760675,0,0,0,0
safe_high_benefit_847,False,True,True,2500,2500,2500,2500,0,0,0,0,0,0,2,2,0.04084964893775537,0.0016024654832655265,0.03649296442783969,0,0,0,0
safe_irreversible_near_847,False,True,True,2500,2389,1714,1713,1,564,222,0,0,1,1.6628,2,0.4959072794830841,0.426346337276159,0.3533492263463436,0,0,0,0
safe_local_reversible_847,False,True,True,2500,2500,2500,2500,0,0,0,0,0,0,2.0028,2,0.3898061572355665,0.0329966695964071,0.13316434865340523,0,0,0,0
safe_long_horizon_near_847,False,True,True,2500,2500,1823,1810,13,466,211,0,0,13,1.9312,2,0.5447088462319055,0.040557073088991105,0.32558399891736767,0,0,0,0
safe_severity_near_847,False,True,True,2500,2500,2341,2341,0,121,38,0,0,0,2.1028,2,0.7248368412556377,0.03976742101617702,0.12882492249937438,0,0,0,0
safe_uncertain_847,False,True,False,2500,2500,0,0,0,1720,780,0,0,0,0,0,0.05479439951956728,0.0029858493973723647,0.05254084320096246,0,0,0,0
systemic_accumulation_847,True,True,False,2500,2500,0,0,0,1743,757,0,0,0,0,0,0.055556474421684016,0.005870702250309091,0.16752860337342496,0,0,0,0
systemic_cascade_scope_847,True,True,False,2500,2500,0,0,0,1687,813,0,0,0,0,0,0.08315123007833748,0.009030879626594292,0.18177923093861234,0,0,0,0
systemic_lock_persistence_847,True,True,False,2500,2500,0,0,0,1715,785,0,0,0,0,0,0.06937719090096682,0.008669468487469889,0.184608655822251,0,0,0,0
systemic_scope_propagation_847,True,True,False,2500,2500,0,0,0,1718,782,0,0,0,0,0,0.09383148218737783,0.011156250766654205,0.18998047027776502,0,0,0,0
